Year,Low_Projection,Medium_Projection,High_Projection
2015,"1,550,000","1,550,000","1,550,000"
2020,"1,700,000","1,750,000","1,850,000"
2025,"1,800,000","1,900,000","2,100,000"
2030,"1,880,000","2,050,000","2,350,000"
2035,"1,920,000","2,150,000","2,500,000"
2040,"1,950,000","2,220,000","2,600,000"
2045,"1,960,000","2,260,000","2,650,000"
2050,"1,970,000","2,280,000","2,680,000"
2055,"1,980,000","2,290,000","2,700,000"
2060,"1,990,000","2,300,000","2,700,000"
2065,"2,000,000","2,310,000","2,700,000"